Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Find missing angles in intersecting lines,"Basic Angle Facts (straight line, opposite, around a point, etc)",What is the size of angle \( x \) ? ![Two intersecting lines forming four angles; one angle is labelled 75 degrees and the angle vertically opposite is labelled x.](),\( 105^{\circ} \),\( 75^{\circ} \),Incorrectly identifies angles as vertically opposite,415
Set Operations and Complements in Probability,Set Theory and Probability,"Consider two sets, \( A \) and \( B \), within a universal set \( U \) such that \( A = \{1, 2, 3, 4\} \) and \( B = \{3, 4, 5, 6\} \). Determine \( A^c \cap B^c \), where \( A^c \) and \( B^c \) are the complements of sets \( A \) and \( B \) respectively, with respect to \( U = \{1, 2, 3, 4, 5, 6, 7, 8\} \).","\( A^c \cap B^c = \{7, 8\} \)","\( A^c \cap B^c = \{1, 2, 5, 6, 7, 8\} \)",Believes the intersection of two complements can be found using the complement of the intersection,416
INSERT TEXT HERE Read values off a velocity-time graph,INSERT TEXT HERE Dynamics and Motion Analysis,"INSERT TEXT HERE What was the velocity of the car at 2 seconds into its journey? ![A line graph with title ""Velocity of a Car Over Time."" The x-axis is titled ""Time (s)"" and is labelled with times from 0 to 10 seconds in steps of 1 second. The y-axis is titled ""Velocity (m/s)"" and the scale is from 0 to 30 m/s in steps of 5 m/s. The following points are plotted and joined together: (0 s, 0 m/s), (2 s, 10 m/s), (4 s, 20 m/s), (6 s, 25 m/s), (8 s, 30 m/s), (10 s, 15 m/s). ]()",INSERT TEXT HERE \( 10 \mathrm{~m/s} \),INSERT TEXT HERE \( 10 \mathrm{~km/h} \),"When reading values from graphs, writes down the wrong units",417
Factorise a quadratic expression in the form x² + bx + c,Factorising into a Double Bracket,Factorise \( x^{2}+10 x+21 \),\( (x+3)(x+7) \),\( (x+5)(x+5) \),"Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x",418
Convert fractions to decimals,Fractions and Decimals,Convert the fraction \( \frac{3}{8} \) to a decimal.,\( 0.375 \),\( 2.666\ldots \),"When converting a fraction to a decimal, divides the denominator by the numerator",419
Finding Bearings Between Two Points,Geometry,"A ship sails from point \( A \) to point \( B \). From point \( B \), what is the bearing of point \( A \)? Assume the bearing from \( A \) to \( B \) is \( 120^\circ \).","The bearing of point \( A \) from \( B \) is \( 300^\circ \) (since bearings are calculated clockwise from the north, the back bearing is found by subtracting 180 from the given bearing if it's less than 180, otherwise adding 180).","The bearing of point \( A \) from \( B \) is \( 240^\circ \) (an error resulting from directly subtracting the bearing from 360, which is the back bearing of what the question asks but inappropriately applied).","When finding bearings, finds the back bearing to what the question is actually asking",420
Identify patterns in arithmetic sequences,Sequences and Series,"Given the sequence 1, 4, 9, 16, 25, ..., what do these numbers represent?",Square numbers,Odd numbers,Mixes up odd and even numbers,421
Basic Graph Understanding,Understanding Graphs of Equations,Provide the equation of the line that has a slope of 1 and passes through the origin.,\( y = x \),\( y = 0 \) or \( x = 0 \),Thinks x = y is an axis,422
Use congruency theorems to find the lengths and angles in special triangles,Triangle Congruence,"In two triangles, \( \triangle ABC \) and \( \triangle DEF \), \( \triangle ABC \) is equilateral with each side measuring \(6 \mathrm{~cm}\). If \( AB = DE \) and angle \( \angle BAC = \angle EDF \), find length \( EF \).","6 \mathrm{~cm}, since triangles are congruent by SAS (Side-Angle-Side) and all sides are \(6 \mathrm{~cm}\).",4 \mathrm{~cm},Does not know the meaning of equilateral,423
Multiply integers by 0.001,Place Value,\( 789 \times 0.001 = \),\( 0.789 \),\( 789.000 \),Adds 3 decimal places rather than moving 3 places,424
Interpreting Frequency Tables,Statistics and Data Analysis,"A grouped frequency table shows the number of students achieving different grade ranges in an exam:

\[
\begin{array}{|c|c|c|}
\hline
\text{Grade Range} & \text{Frequency} & \text{Cumulative Frequency (or Other Column)} \\
\hline
0-10 & 5 & 5 \\
10-20 & 8 & 13 \\
20-30 & 12 & 25 \\
30-40 & 15 & 40 \\
40-50 & 10 & 15 \\
\hline
\end{array}
\]

Determine the cumulative frequency for the 40-50 grade range.","The cumulative frequency for the 40-50 grade range should be 50, as it should sum up all the frequencies up to that range: \(5 + 8 + 12 + 15 + 10 = 50\).","The cumulative frequency for 40-50 grade range is incorrectly assumed to be 15, misunderstanding the table layout.",Assumes the third column of a grouped frequency table is always cumulative frequency,425
Measurement of corresponding angles formed by parallel lines and a transversal,Geometry: Properties of Parallel Lines,"Determine the measure of angle \( x \). ![Two parallel lines with a transversal intersecting them, forming eight angles. Angles on the lower parallel line to the right of the transversal are marked as 'x' and '62'. Angle on the upper parallel line, directly above the '62', is marked 'x'.] ()",\( x = 62^{\circ} \),\( x = 28^{\circ} \),Believes corresponding angles sum to 90 degrees,426
Express time interval as a fraction of an hour,Time,Express \( 30 \) minutes as a fraction of an hour.,\( \frac{1}{2} \),\( \frac{30}{100} \),Answers as if there are 100 minutes in an hour when writing minutes as decimals,427
Identify axis intersections for given coordinates,Coordinate Geometry,"The point \((0, b)\) lies on the y-axis at \( b = 5 \). What are the coordinates of the point?","\((0, 5)\)","\((5, 5)\)","When a point is on an axis, gives both coordinates as the value it's at on the axis",428
Manipulate and simplify expressions containing surds,Algebraic Manipulation with Surds,\(5 \times \sqrt{3} + 2 \times \sqrt{3} = \),\(7 \times \sqrt{3}\),\(\sqrt{15} + \sqrt{6} = \sqrt{21} \),"When multiplying a surd by an integer, believes the value under the surd can be swapped with the integer",429
Understand and use bearings in navigational problems,Geometry - Bearings,The bearing from point A to B is \( 070^\circ \). What is the bearing from point B back to A?,\( 250^\circ \),\( 070^\circ \),"When finding bearings, finds the bearing going in the reverse direction to the one stated",430
Calculate exterior angles of polygons,Geometry,The exterior angle of a regular polygon is 40°. What is the measure of an interior angle?,140°,40°,Finds interior angle rather than given angle,431
Determine the equation of a straight line from a graph,Linear Equations,"Consider the straight line that passes through points \((1, 2)\) and \((3, 6)\). Write the equation of this line in slope-intercept form.",\(y = 2x + 0\) or simply \(y = 2x\),\(y = -2x - 0\) or simply \(y = -2x\),Believes the equation of a straight line is y=-mx-c,432
Understand negative exponents in algebraic expressions,Algebraic Expressions,Simplify the expression \( \left( \frac{x^3}{x^{-2}} \right) \) where \( x = 2 \).,\( 32 \),\( -32 \),Believes a negative power results in a negative answer,433
Understanding Corresponding Angles in Geometric Figures,Angles in Geometry,"Consider the following figure:

![A diagram showing two intersecting lines (AB and CD) with a transversal EF crossing them both. No lines in the diagram are marked as parallel.]()

Identify a pair of corresponding angles in the diagram.",Angles \(\angle AEF\) and \(\angle CDF\),No corresponding angles since lines AB and CD are not parallel,"Believes only angles on parallel lines can be called ""corresponding""",434
Understanding and applying scale factors in direct proportion problems,Proportional Reasoning,Sarah is making a recipe that requires 200 grams of flour to make 8 servings. She wants to make 24 servings. What amount of flour does she need?,600 grams,200 grams,Finds a scale factor but forgets to multiply the original value in proportion questions,435
Identify and combine like terms in polynomial expressions involving powers of variables,Polynomial Expressions and Combining Like Terms,"Simplify the following expression by collecting like terms:

\(3x^2 + 4x - x^2 + 5 - 2x + 7\)",\(2x^2 + 2x + 12\),\(3x^2 + 4x + 5 - x^2 - 2x + 7\),Does not understand when like terms can be collected,436
Analyzing a probability distribution for a discrete random variable,Probability Basics,"Consider a die where the probability of rolling a number is described by the function \( P(X = x) \) for \( x = 1, 2, 3, 4, 5, 6 \). If the given probabilities for each face are \( P(X = 1) = 0.1 \), \( P(X = 2) = 0.2 \), \( P(X = 3) = 0.2 \), \( P(X = 4) = 0.15 \), \( P(X = 5) = 0.25 \), what must \( P(X = 6) \) be to form a valid probability distribution?",\( P(X = 6) = 0.1 \),\( P(X = 6) = 0.2 \),Does not recognise that probabilities of all possible outcomes will sum to 1,437
Working with Radical Expressions,Radicals and Rational Exponents,Express \( \sqrt[3]{8} \) as a power.,\( 8^{1/3} = 2 \),\( 8 \div 3 = 2.67 \),Believes cubing a number means you multiply it by 3,438
Understanding Linear Functions and Their Slopes,Algebra - Calculating Slope from Two Points,"Amy is finding the slope of a line that passes through the points (2, 6) and (8, 15). She calculated the slope by determining the change in \( y \) and change in \( x \). What is the correct slope of the line?",\( \frac{3}{2} \),\( 54 \),Believes gradient = change in y multiplied by change in x,439
Sequence and Series Indexing,Arithmetic Sequences,The first term of an arithmetic sequence is given by the formula \( a_n = 3n + 2 \). What is the first term of the sequence?,"The first term is 5, which is found by substituting \( n = 1 \) into the formula: \( a_1 = 3(1) + 2 = 5 \).","The first term is 2, assuming  \( n = 0 \) for the first term: \( a_0 = 3(0) + 2 = 2 \).",Thinks n=0 for the first term in a sequence,440
Understand Volume Measurement Systems,Volume and Metric System,"Steve needs to fill a tank with water. The tank's capacity is listed as 2,000 liters. If he only has a measuring jug that measures in cubic meters, how much water should he use to fill the tank?","2 cubic meters, because 1 cubic meter is equal to 1,000 liters.","You cannot measure in cubic meters for this task, thinking it should instead be measured in gallons or another unit. Misinterprets cubic meters as non-compatible with liters.",Does not recognise a unit of volume,441
INSERT TEXT HERE Calculate frequency density for histogram INSERT TEXT HERE,INSERT TEXT HERE Statistics INSERT TEXT HERE,"INSERT TEXT HERE A histogram is drawn to represent the distribution of heights of students in a school. The following table provides the class intervals and frequencies:
\[
\begin{array}{|c|c|}
\hline
\text{Height (cm)} & \text{Frequency} \\
\hline
140-150 & 10 \\
150-160 & 15 \\
160-170 & 25 \\
170-180 & 20 \\
180-190 & 5 \\
\hline
\end{array}
\]
What is the frequency density of the 150-160 cm class interval? INSERT TEXT HERE",INSERT TEXT HERE Frequency density = \(\frac{\text{Frequency}}{\text{Class Width}} = \frac{15}{10} = 1.5\) INSERT TEXT HERE,INSERT TEXT HERE Cumulative frequency = 10 (140-150) + 15 (150-160) = 25 INSERT TEXT HERE,Confuses cumulative frequency and frequency density,442
Total hours in a fortnight,Time,Calculate the number of hours in \( 2 \) weeks.,\( 2 \times 7 \times 24 \),\( 2 \times 7 \times 12 \),Thinks there are 12 hours in 1 day,443
Understand and interpret data represented in Venn Diagrams,Set Theory and Venn Diagrams,"Consider the Venn diagram below representing students who like different fruits.  
- 12 students like apples (A)  
- 8 students like bananas (B)  
- 5 students like both apples and bananas  
- 4 students like neither apples nor bananas  
How many students are represented in total by the Venn diagram? ![Venn Diagram with values in A, B, A∩B, and outside both]()","There are 19 students in total. Calculating this, 12 - 5 = 7 students like only apples, 8 - 5 = 3 students like only bananas, and 5 students like both apples and bananas, which totals to 7 + 3 + 5 = 15 students liking either or both. Adding the 4 who like neither gives 15 + 4 = 19.",4,Confuses the value outside of a Venn diagram as the total number of entries in the diagram,444
Read off and interpret data from a grid for constructing graphs,Graphing Linear Equations,The line graph shows the temperature changes over a week. What was the temperature on Wednesday?,The temperature on Wednesday was 25°C.,The temperature on Wednesday was 5°C.,Counts squares instead of the correct scale when plotting coordinates,445
Calculate the square of a number,"Square Roots, Cube Roots, etc",\( 15^{2}= \),\( 225 \),\( 1515 \),Repeats the digits twice when squaring a number,446
Understanding the effect of dividing by a fraction decimal,Dividing with Fractions and Decimals,\( 25.4 \div 0.1= \),\( 254 \),\( 2.54 \),Believes dividing by 0.1 is the same as dividing by 10,447
Use of Trigonometric Ratios to Determine Side Lengths in Right Triangles,Trigonometry in Right Triangles,"In triangle ABC, angle A is right and angle C is 30°. If the length of the side adjacent to angle C (AC) is 5 cm, find the length of the opposite side to angle C (BC).",BC = 5 * tan(30°) ≈ 2.89 cm,BC = 5 * cos(30°) ≈ 4.33 cm,Confuses adjacent and opposite sides,448
Understanding the impact of scaling transformations on geometric figures,Geometry and Scale Transformations,"A rectangle has a perimeter of 36 cm. If each dimension of the rectangle is tripled, what will the new perimeter be?",The new perimeter is 108 cm.,Not enough information to determine the new perimeter since the individual side lengths are not given.,"Does not realise we can scale the perimeter as a whole, rather than finding individual side lengths",449
"Identify and count the faces, vertices and edges of a 3D shape",Names and Properties of 3D Shapes,![Illustration of a hexagonal pyramid]() How many faces does this pyramid have?,\( 7 \),\( 12 \),Confuses the terms faces and vertices,450
Corresponding Angles and Parallel Lines,Angles Formed by Parallel Lines,"If transversal \( EF \) intersects parallel lines \( AB \) and \( CD \) such that \( \angle AEF = 70^{\circ} \), what is the measure of \( \angle EFC \)?",\( 70^{\circ} \),Not enough information to work it out,Does not recognise parallel lines angle rules applied inside a shape,451
Evaluate exponential expressions,Exponential Functions,Evaluate the expression \( 4^{2} \times 4 \).,\( 64 \),\( 256 \),"When a variable in an expression has a power, thinks the power applies to the whole expression",452
Understanding types of data,Statistics,Consider the following data sets: a) Average height of students in a class. b) Different types of fruits liked by students. Which data set represents qualitative data?,Data set b) Different types of fruits liked by students.,Both data sets a) Average height of students in a class and b) Different types of fruits liked by students represent qualitative data.,Believes qualitative data can be continuous,453
Converting between Perimeter and Area,Geometry and Algebra,"A rectangle has a perimeter of 24 meters. If the width is 4 meters, what is the area?",Area is \(32 \text{ m}^2\).,Area is \(1024 \text{ m}^2\).,Thinks measures of area must end in squared,454
Work out the sum of the interior angles in polygons,Geometry: Angles in Polygons,Calculate the sum of all interior angles of a hexagon. How many degrees do they add up to?,\(720^{\degree}\),\(900^{\degree}\),Subtracts 1 rather than 2 from the number of sides when finding the sum of interior angles,455
Finding the percentage change,Percentage Calculations,"During a sale, the price of a jacket decreased from 80 to 64. What is the percentage decrease in the price of the jacket?",\( 20\% \),\( 0.16\% \),Believes you can divide the change by 100 to find the percentage change ,456
Calculate the volume of a rectangular prism,Geometry,"A rectangular prism has a length of 5 cm, a width of 3 cm, and a height of 4 cm. What is the volume of the rectangular prism?","\( 60 \, \text{cm}^3 \)","\( 12 \, \text{cm}^3 \)",Does not know how to calculate volume,457
For a given output find the input of a function machine,Function Machines,"![Image of a function machine. The function is add 8, and the output is 50]() What is the input of this function machine?",\( 42 \),\( 58 \),When finding an input of a function machine thinks you apply the operations given rather than the inverse operation.,458
Calculation of Circle Measurements,Geometry - Understanding Circles,A circular garden has a diameter of 10 meters. Calculate the area of the garden.,\( A = \pi \times (5^2) = 25\pi \) square meters,\( A = \pi \times 10 \approx 31.4 \) square meters (incorrectly calculated as circumference),confuses circumference and area,459
Transformation of Quadratic Functions,Graphing Quadratics,Consider the function \( y = x^2 + 5 \). What is the turning point of this quadratic function?,"The turning point of the function \( y = x^2 + 5 \) is at \((0, 5)\).","The turning point of the function \( y = x^2 + 5 \) is at \((-5, 0)\).","Believes the graph of x squared + c has the turning point of (-c, 0)",460
Calculate the median as an average from an odd numbered list of data,"Averages (mean, median, mode) from a List of Data","What is the median of the following numbers?
\( 11, 13, 15, 21, 29 \)",\( 15 \),\( 17 \),"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value",461
Combination of Functions in a Function Machine,Functions and Composite Functions,"Consider the function machine below:  
1. The first function adds 3 to the input.  
2. The second function multiplies the result by 2.  

If you input the number 5 into the function machine, what is the output?",The output is \( (5 + 3) \times 2 = 16 \).,The output is \( 5 \times (3 + 2) = 25 \).,Thinks that they can combine functions in a function machine before applying them to the input,462
Interpret data from a pie chart,Pie Chart Analysis,"This pie chart represents the sales distribution of different products at a store. ![Pie chart showing the product sales distribution. Product A is 120 degrees. Product B is 60 degrees. Product C is 110 degrees, and Product D is 70 degrees.]() What percentage of the sales are for products other than Product A?",\( 66.67\% \),\( 33.33\% \),Reads the complement of what is required from a pie chart,463
Understanding Interior Angles of Polygons,Geometry: Polygon Angles,A student is looking at a drawing of an irregular octagon and is asked: What is the sum of the interior angles of this shape?,\( 1080^{\degree} \),"It is an irregular octagon, so the interior angles can't be determined without more information.",Believes that you are unable to calculate the sum of the interior angles of an irregular polygon given the number of sides,464
Properties of Diagonals in Quadrilaterals,Geometry,"Given a square \(ABCD\) with diagonal \(AC\) and \(BD\) intersecting at point \(E\), what is the measure of angle \(AEC\)?",\(90^\circ\),\(45^\circ\),Does not know the diagonals of a square bisect at right angles,465
Perform addition calculations using standard form,Standard Form,\( \left(1.2 \times 10^{6}\right) + \left(3.4 \times 10^{5}\right) = \),\( 1.54 \times 10^{6} \),\( 4.6 \times 10^{11} \),"When calculating with numbers in standard form, just applies the operation to the number and the power separately",466
Understanding Subtraction Across Zero in Multi-Digit Numbers,Subtraction with Regrouping (Borrowing),Calculate \( 500 - 273 \),\( 227 \),\( 327 \),Treats zero as a ten when subtracting,467
"INSERT TEXT HEREGiven the sector angle on a pie chart, calculate the frequency of a group",INSERT TEXT HEREPie Chart,"INSERT TEXT HEREA group of friends were asked about their favorite type of movie.  
The table below shows the number of friends who preferred each type of movie, along with the angle that represents them on a pie chart.

\begin{tabular}{|c|c|c|}
\hline
Type of Movie & Frequency & Angle on Pie Chart \\
\hline
Action & \( 7 \) & \( \) \\
\hline
Comedy & \( \bigstar \) & \( 90 \degree \) \\
\hline
Drama & \(  \) & \(  \) \\
\hline
Horror & \( 3 \) & \(  \) \\
\hline
Animation & \(  \) & \(  \) \\
\hline
TOTAL & 20 & \( \) \\
\end{tabular}

Kevin is trying to figure out how many of his friends preferred comedy movies. According to Kevin, the frequency for comedy is calculated by dividing the angle \(90\degree\) by the total frequency of 20. Is Kevin correct? If not, what calculation should he use?",INSERT TEXT HERE\(\frac{90}{360} \times 20 = 5\),INSERT TEXT HERE\(90 \div 20 = 4.5\),Believes you find the frequency for a pie chart sector by calculating its angle divided by the total frequency,468
Use the nth term rule of a geometric sequence to determine the term position if it exists in the sequence,Geometric Sequences,"Jonathan is tasked with figuring out if \( 81 \) is a term in the geometric sequence defined by the rule \( a_n = 3 \cdot 2^n \).

Below is his attempt. What conclusion should Jonathan come to?

\( \begin{aligned} 3 \cdot 2^n & =81 \\ 2^n &= \frac{81}{3} \\ 2^n &= 27 \end{aligned} \)

Jonathan now realizes that \( 2^n = 27 \) cannot hold for any integer \( n \) because \( 27 \) is not a power of \( 2 \). Hence, he concludes that the position of the sequence cannot be an integer.",\( 81 \) is not in the sequence since no integer \( n \) satisfies \( 2^n = 27 \).,"\( 81 \) is not in the sequence because if \( n \) is not an integer, the position of the element cannot be verified.",Believes the position of a sequence cannot be an integer,469
Reflect a shape across a given diagonal line,Transformation Geometry,A triangle is placed on a grid with a diagonal line of reflection running from the top left corner to the bottom right corner. Reflect the triangle over this diagonal line.,"The triangle's reflection, where each vertex is mirrored over the diagonal line, forming a congruent triangle on the opposite side.","The triangle has not been reflected over the diagonal, but instead, each vertex has been incorrectly placed in positions that suggest a vertical or horizontal line reflection, preserving the triangle's orientation.",Cannot reflect shape when line of symmetry is diagonal ,470
Solve linear equations,Algebra,"Solve the following linear equation for \( x \): 

\[
7x + 3 = 0 
\]

What is the value of \( x \)?",\( x = -\frac{3}{7} \),\( x = -\frac{7}{3} \),Believes that the solution to ax + b = 0 is x = -a/b,471
Scaling Recipes Proportionally,Ratios and Proportions,You have a recipe that serves 4 people and requires 2 cups of flour. How much flour is needed if you want to make enough for 12 people?,6 cups,24 cups,Multiplies the value as if the original recipe was for 1 person,472
Evaluate and Interpret Pictograms,Data Representation and Interpretation,"A company creates a pictogram to represent sales over three months. January shows a rectangle with a width of 1 cm and a height of 2 cm. February shows a rectangle with a width of 2 cm and a height of 2 cm. March shows a rectangle with a width of 2.5 cm and a height of 2.5 cm. If the area of each shape is directly proportional to sales, what is the order of the months from highest to lowest sales?","March, February, January","January, February, March",Underestimates the impact of the size of images in a misleading statistical diagram,473
Convert between cm³ and l,Volume and Capacity Units,\( 2500 \mathrm{~cm}^{3} \) is the same as ______ litres,\( 2.5 \),\( 25 \),Thinks 1l = 100 cubic centimetres,474
Understanding Part-Whole Relationships in Real Numbers,Fractions and Decimals,"Consider a part-whole model where the total value is \(15\). If a part of the model is \( \frac{1}{3} \) of the total, calculate the value of this part.",The value of the part is \( \frac{1}{3} \times 15 = 5 \).,"The value of the part is \( \frac{1}{3} \), assuming the total is 1.",Believes the total of a part whole model is always 1 (or equivalent) instead of the given total,475
Determine congruence of triangles using congruence criteria,Geometry,"Consider two triangles, \( \triangle ABC \) and \( \triangle DEF \), where:  
- \(\angle A = \angle D = 50^\circ\)
- \(\angle B = \angle E = 70^\circ\)
- \(\angle C = \angle F = 60^\circ\)

Are the triangles \( \triangle ABC \) and \( \triangle DEF \) congruent?","No, the triangles are not congruent. While they have the same angles, Angle-Angle-Angle (AAA) does not prove congruence; it only proves similarity.","Yes, the triangles are congruent because they have equal corresponding angles.",Thinks Angle-Angle-Angle triangles are congruent,476
Understanding multiplication of fractions,Fractions,Simplify the following multiplication of fractions: \(\frac{2}{3} \times \frac{3}{4}\).,\(\frac{1}{2}\),\(\frac{6}{12}\),"Believes when multiplying fractions you cross multiply top left and bottom right for numerator, and the other diagonal for denominator",477
Classify numbers based on properties,Classification in Math,"Into which category does the number \(81\) fall: square number, prime number, or neither?",Square number,Neither,Does not know what a square number is,478
Simplify expressions with division and negative signs,Arithmetic with Signed Numbers,Evaluate the expression: \( \frac{12}{-3} \).,\(-4\),\(4\),Thinks a divide and a negative sign next to each other makes a plus,479
Use angle rules to find missing angles in parallel line diagrams,Lines and Angles,"In the diagram, two parallel lines are intersected by a transversal. One of the intersecting angles looks like a right angle but is not marked. If the adjacent angle is labeled as 92 degrees, what is the measure of the angle that looks like a right angle?",88 degrees,90 degrees,Believes that angles that look like they are a right-angle are always 90 degrees,480
Interpreting operations within number sequences,Number Sequences,"The following sequence is formed by starting with the number 15 and repeatedly applying the same operation: 15, 12, 9, ..., What operation is being applied each time to generate the sequence?",\( -3 \),\( \times 3 \),Thinks the inverse of subtraction is multiplication,481
Simplify expressions involving surds,Surds and Radicals,Simplify the surd \(\sqrt{50}\).,\(5\sqrt{2}\),\( \sqrt{25} \),"When simplifying surds, does not understand that the simplified root is what is left after dividing out the largest square number",482
Apply quadratic function transformations and interpret how changes in the function affect the graph,Quadratic Functions and Transformations,Consider the quadratic function \( y = \sqrt{x^2 + 4x + 4} \). Discuss the transformation you would make to this function to express it in vertex form.,"The expression under the square root simplifies as a perfect square trinomial: \( y = \sqrt{(x+2)^2} \), which simplifies further to \( y = |x+2| \). The vertex form indicates a horizontal shift 2 units to the left of the parent function \( y = |x| \).","The expression is simplified incorrectly term-by-term: \( y = x + 2 \), indicating a linear transformation which does not reflect the true nature of the quadratic and its graph.","Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression",483
Understanding Cube Roots,Roots and Exponents,What is the cube root of 8?,2,512,Mistakes cube root for cubing the number,484
Understanding Factors of a Number,Number Theory,List all factors of the number 15.,"The factors of 15 are 1, 3, 5, and 15.","The factors of 15 are 3, 5, and 15.",Believes 1 is not a factor of a number,485
Convert squared feet to squared inches,Area Units,\( 3 \mathrm{~ft}^{2} \) is the same as _____ \( \mathrm{in}^{2} \),\( 432 \mathrm{~in}^{2} \),\( 36 \mathrm{~in}^{2} \),Does not square the conversion factor when converting squared units,486
Understand and evaluate composite functions,Functions and Inverses,"If \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), what is \( (f \circ g)(x) \)?",\( (f \circ g)(x) = f(g(x)) = f(x^2) = 2x^2 + 3 \),\( (f \circ g)(x) = f(x) \times g(x) = (2x + 3) \times x^2 = 2x^3 + 3x^2 \),Believes a composite function multiplies the functions together,487
Understanding and applying the distributive property in algebraic expressions,Algebraic Manipulation,Expand the following expression using the distributive property: \( 3(x + 4) + 2(x - 5) \),\( 3x + 12 + 2x - 10 = 5x + 2 \),\( (3 + 2)(x + 4 - 5) = 5(x - 1) = 5x - 5 \),Does not correctly apply the distributive property of multiplication,488
Calculate the speed using the correct formula,"Speed, Distance, and Time Calculations","If a car travels 150 kilometers in 3 hours, what is its speed in kilometers per hour?",The correct speed is calculated using the formula \( \text{Speed} = \frac{\text{Distance}}{\text{Time}} = \frac{150 \text{ km}}{3 \text{ hours}} = 50 \text{ km/h} \),The incorrect calculation using the misconception is \( \text{Speed} = \frac{\text{Time}}{\text{Distance}} = \frac{3 \text{ hours}}{150 \text{ km}} = 0.02 \text{ h/km} \),Believes speed = time/distance,489
Understanding Triangle Construction,Geometry - Triangle Construction,"Construct a triangle with sides measuring 3 cm, 4 cm, and 5 cm. What is the correct method to construct the triangle?","To correctly construct the triangle, use a ruler and a compass. Start by drawing a base line of 5 cm. From one end of the line, use a compass set to 3 cm to draw an arc. From the other end, use a compass set to 4 cm to draw another arc, so that the arcs intersect. The intersection point is the third vertex of the triangle. Connect this vertex to both ends of the base line.","Measure 3 cm, 4 cm, and 5 cm from the same starting point along a ruler, marking each point sequentially on a straight line. Connect these points using straight lines to form a triangle.","Believes that when constructing triangles, all sides should be measured from the same point",490
INSERT TEXT HERECalculate the mean as an average from a list of data,"INSERT TEXT HEREAverages (mean, median, mode) from a List of Data","INSERT TEXT HEREWhat is the mean of the following numbers: 
\[ 2, 4, 6, 8, 10 \]?",INSERT TEXT HERE(\frac{2+4+6+8+10}{5} = \frac{30}{5} = 6),INSERT TEXT HERE\(\frac{2+4+6+8}{4} = 5\),Does not know how to calculate the mean,491
Transformations of Quadratic Functions,Graphing Parabolas and Identifying Vertex,Consider the quadratic function \( y = x^2 + 3 \). Determine the coordinates of the turning point of the graph.,"The turning point of the graph is at (0, 3).","The turning point of the graph is at (3, 0).","Believes the graph of x squared + c has the turning point of (c, 0)",492
Converting Mixed Numbers to Improper Fractions,Fractions and Mixed Numbers,Convert the mixed number \( 3 \frac{1}{4} \) to an improper fraction.,\( \frac{13}{4} \),\( \frac{7}{4} \),Thinks you add the number of wholes to the numerator when converting a mixed number to an improper fraction.,493
Comparing data sets using multiple categories,Data Analysis and Interpretation,"A survey was conducted to find out the number of apples and oranges sold by two vendors, Vendor A and Vendor B, over a week.

Vendor A: Apples - 30, Oranges - 20

Vendor B: Apples - 25, Oranges - 35

Which vendor sold more fruits in total during the week?","Vendor B sold more fruits in total (Vendor A's total: 50, Vendor B's total: 60).",Vendor A sold more fruits because they sold more apples than Vendor B.,"When comparing data, only compares one category of data rather than comparing the totals",494
Simplifying Expressions with Fractions,Algebraic Fractions,Simplify the expression: \( \frac{5}{3} + 2 \) by converting the integer to a fraction.,\(\frac{11}{3}\),\(\frac{10}{3}\),Thinks converting an integer to a fraction means both the numerator and denominator are equal,495
Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,\( 1.75 - 0.3 = \),\( 1.45 \),\( 1.42 \),"When subtracting decimals with a different number of decimals, subtracts one digit from more than one column",496
Convert Decimals to Fractions,Decimal and Fraction Conversion,Express the decimal \( 0.125 \) as a fraction in simplest form.,\(\frac{1}{8}\),\(\frac{1}{125}\),Used the digits of the decimal as the denominator,497
Understand the relationship between parts of a ratio,Scaling Ratios,"The ratio of fiction books to non-fiction books in a library is \( 1:3 \). If there are 60 non-fiction books, how many fiction books are there?",\( 20 \) fiction books,\( 15 \) fiction books,Does not understand that in a ratio 1:n that one part of the ratio would be n times bigger than the one part,498
Understanding ratios and simplification,Ratio and Proportion,A recipe requires \( 12 \) cups of flour and \( 18 \) cups of sugar. Write the ratio of flour to sugar and simplify it.,\( 2: 3 \),\( 12: 18 \),Does not realise ratio in worded problem can be simplified,499
Calculate the area of a specified section within composite figures,Geometry - Areas of Composite Shapes,"A rectangle has a semicircle at one end with the diameter equal to the width of the rectangle. The width of the rectangle is 8 cm, and its length is 12 cm. Calculate the area of the rectangle, excluding the semicircle.",96 cm² (This is the area of the rectangle only.),60.32 cm² (This is the calculated area after incorrectly removing the area of the semicircle from the total rectangle's area.),Finds the shaded section rather than the specified section,500
