QuestionId,ConstructName,SubjectName,CorrectAnswer,QuestionText,CorrectAnswerText,Option,AnswerText,MisconceptionId,Prompt
68,Solve quadratic equations using completing the square in the form (x + q)² + r ,Quadratic Equations,B,"One of these equations has no real solutions
Which is it?",\( (w-4)^{2}+16=0 \),A,\( (w-4)^{2}-16=0 \),,"Question: One of these equations has no real solutions
Which is it?
Incorrect Answer: \( (w-4)^{2}-16=0 \)
Correct Answer: \( (w-4)^{2}+16=0 \)
Construct Name: Solve quadratic equations using completing the square in the form (x + q)² + r 
Subject Name: Quadratic Equations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
74,Solve quadratic equations using balancing,Quadratic Equations,D,"One of these equations has no real solutions.
Which is it?",\( t^{2}=-45 \),A,\( t^{2}-45=0 \),,"Question: One of these equations has no real solutions.
Which is it?
Incorrect Answer: \( t^{2}-45=0 \)
Correct Answer: \( t^{2}=-45 \)
Construct Name: Solve quadratic equations using balancing
Subject Name: Quadratic Equations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
87,"Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a",Quadratic Equations,B,"According to the graph, what is the approximate solution to
\(x^{2}+4 x-1=-6\) ![A set of axes with the quadratic graph y=x^2+4x-1 drawn on.]()",No real solutions,A,"\( x=4.25, \quad x=-0.25 \)",,"Question: According to the graph, what is the approximate solution to
\(x^{2}+4 x-1=-6\) ![A set of axes with the quadratic graph y=x^2+4x-1 drawn on.]()
Incorrect Answer: \( x=4.25, \quad x=-0.25 \)
Correct Answer: No real solutions
Construct Name: Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a
Subject Name: Quadratic Equations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
92,Reduce a ratio involving two numbers to its simplest form,Writing Ratios,D,"Write the following ratio in its simplest form so both sides of the ratio are integers:
\(
\frac{1}{4}: \frac{1}{2}
\)",\( 1: 2 \),A,\( 4: 2 \),,"Question: Write the following ratio in its simplest form so both sides of the ratio are integers:
\(
\frac{1}{4}: \frac{1}{2}
\)
Incorrect Answer: \( 4: 2 \)
Correct Answer: \( 1: 2 \)
Construct Name: Reduce a ratio involving two numbers to its simplest form
Subject Name: Writing Ratios

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
116,Find missing numbers in a fraction multiplication,Multiplying Fractions,B,\( \frac{3}{5} \times ?=\frac{1}{2} \),\( \frac{5}{6} \),A,\( \frac{2}{3} \),,"Question: \( \frac{3}{5} \times ?=\frac{1}{2} \)
Incorrect Answer: \( \frac{2}{3} \)
Correct Answer: \( \frac{5}{6} \)
Construct Name: Find missing numbers in a fraction multiplication
Subject Name: Multiplying Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
131,"Solve one-step linear equations requiring addition or subtraction, involving positive fractions",Linear Equations,C,"Solve the equation:
\(
p-5=\frac{1}{10}
\)",\( p=\frac{51}{10} \),A,\( p=\frac{6}{15} \),,"Question: Solve the equation:
\(
p-5=\frac{1}{10}
\)
Incorrect Answer: \( p=\frac{6}{15} \)
Correct Answer: \( p=\frac{51}{10} \)
Construct Name: Solve one-step linear equations requiring addition or subtraction, involving positive fractions
Subject Name: Linear Equations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
132,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,Solving Linear Inequalities,B,"Tom and Katie are arguing about solving inequalities.
Tom says \( -2 m>12 \) gives \( m>-6 \)
Katie says \( -2+m>12 \) gives \( m>14 \)
Who is correct?",Only Katie,A,"Only
Tom",,"Question: Tom and Katie are arguing about solving inequalities.
Tom says \( -2 m>12 \) gives \( m>-6 \)
Katie says \( -2+m>12 \) gives \( m>14 \)
Who is correct?
Incorrect Answer: Only
Tom
Correct Answer: Only Katie
Construct Name: Solve one-step linear inequalities in one variable where the variable appears on one side of the equation
Subject Name: Solving Linear Inequalities

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
139,Expand two brackets with linear terms in the form (ax + b)(cx + d),Expanding Double Brackets,C,"Alison is expanding these two brackets.
What should she get when she multiplies the two terms indicated by the arrows? ![The two brackets are (5p-4)(2p-3). The arrows are pointing at the -4 in the first bracket and the -3 in the second bracket.]()",\( +12 \),A,\( +7 \),,"Question: Alison is expanding these two brackets.
What should she get when she multiplies the two terms indicated by the arrows? ![The two brackets are (5p-4)(2p-3). The arrows are pointing at the -4 in the first bracket and the -3 in the second bracket.]()
Incorrect Answer: \( +7 \)
Correct Answer: \( +12 \)
Construct Name: Expand two brackets with linear terms in the form (ax + b)(cx + d)
Subject Name: Expanding Double Brackets

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
160,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,Quadratic Equations,B,"The area of the trapezium on the right is \( 40 \mathrm{~cm}^{2} \). ![A trapezium with the parallel sides a and b labelled with x+2 and x+4 and the perpendicular height x.]() Based on the information given, Adam writes this formula:
\(x^{2}+3 x=40\)

What are the two solutions to this equation?",\( \begin{array}{c}x=-8 \\ \text { and } \\ x=5\end{array} \),A,\( \begin{array}{c}x=-8 \\ \text { and } \\ x=-5\end{array} \),,"Question: The area of the trapezium on the right is \( 40 \mathrm{~cm}^{2} \). ![A trapezium with the parallel sides a and b labelled with x+2 and x+4 and the perpendicular height x.]() Based on the information given, Adam writes this formula:
\(x^{2}+3 x=40\)

What are the two solutions to this equation?
Incorrect Answer: \( \begin{array}{c}x=-8 \\ \text { and } \\ x=-5\end{array} \)
Correct Answer: \( \begin{array}{c}x=-8 \\ \text { and } \\ x=5\end{array} \)
Construct Name: Solve quadratic equations using factorisation in the form (x + a)(x + b) 
Subject Name: Quadratic Equations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
171,Multiply 3 digit integers by 2 digit integers using long multiplication,Written Multiplication,C,"What is a correct way to set up this problem to solve it using long multiplication?
\[
426 \times 82
\]",![426 multiplied by 82 set out to perform long multiplication. 82 is written under 426. The 8 of 82 is under the 2 of 426 and the 2 of 82 is under the 6 of 426](),A,"![426 multiplied by 82 set out to perform long multiplication. 426 is written in 3 columns with 400 in the first column, 20 in the second column and 6 in the third column. 82 is written underneath this, with 80 under 400 and 2 under 20.]()",,"Question: What is a correct way to set up this problem to solve it using long multiplication?
\[
426 \times 82
\]
Incorrect Answer: ![426 multiplied by 82 set out to perform long multiplication. 426 is written in 3 columns with 400 in the first column, 20 in the second column and 6 in the third column. 82 is written underneath this, with 80 under 400 and 2 under 20.]()
Correct Answer: ![426 multiplied by 82 set out to perform long multiplication. 82 is written under 426. The 8 of 82 is under the 2 of 426 and the 2 of 82 is under the 6 of 426]()
Construct Name: Multiply 3 digit integers by 2 digit integers using long multiplication
Subject Name: Written Multiplication

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
173,Write a given ratio in the form 1:n ,Writing Ratios,B,"Kate and Isaac share some sweets in the ratio \( 3: 2 \)
What is this ratio in the form \( 1: n \) ?",\( 1: \frac{2}{3} \),A,\( 1: 1.5 \),,"Question: Kate and Isaac share some sweets in the ratio \( 3: 2 \)
What is this ratio in the form \( 1: n \) ?
Incorrect Answer: \( 1: 1.5 \)
Correct Answer: \( 1: \frac{2}{3} \)
Construct Name: Write a given ratio in the form 1:n 
Subject Name: Writing Ratios

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
176,"Given a negative x value, find the corresponding y value for curves in the form y = x² + bx + c",Plotting Quadratics from Tables of Values,B,"This is part of a table of values for
\(y=x^{2}-2 x+1\)

What should replace the star? \begin{tabular}{|c|c|}
\hline\( x \) & \( -3 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular}",\( 16 \),A,\( 14 \),,"Question: This is part of a table of values for
\(y=x^{2}-2 x+1\)

What should replace the star? \begin{tabular}{|c|c|}
\hline\( x \) & \( -3 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular}
Incorrect Answer: \( 14 \)
Correct Answer: \( 16 \)
Construct Name: Given a negative x value, find the corresponding y value for curves in the form y = x² + bx + c
Subject Name: Plotting Quadratics from Tables of Values

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
187,Carry out mental divisions when the answer leaves a remainder,Mental Multiplication and Division,D,"Sarah has some apples.
She shares them into \( 6 \) equal groups and there is one left over.
How many apples could she have?",\( 43 \),A,\( 66 \),,"Question: Sarah has some apples.
She shares them into \( 6 \) equal groups and there is one left over.
How many apples could she have?
Incorrect Answer: \( 66 \)
Correct Answer: \( 43 \)
Construct Name: Carry out mental divisions when the answer leaves a remainder
Subject Name: Mental Multiplication and Division

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
209,Convert from minutes to seconds,Time,C,"Order the times from shortest to longest.
A:  8 minutes
B:  8 minutes 40 seconds
C:  8 \(
\frac{1}{2}
\) minutes
D:  500 seconds ","\( A, D, C, B \)",A,"\( A, B, C, D \)",,"Question: Order the times from shortest to longest.
A:  8 minutes
B:  8 minutes 40 seconds
C:  8 \(
\frac{1}{2}
\) minutes
D:  500 seconds 
Incorrect Answer: \( A, B, C, D \)
Correct Answer: \( A, D, C, B \)
Construct Name: Convert from minutes to seconds
Subject Name: Time

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
211,"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,C,\( 0.6=\frac{3}{5}=? \% \),\( 60 \% \),A,\( 50 \% \),,"Question: \( 0.6=\frac{3}{5}=? \% \)
Incorrect Answer: \( 50 \% \)
Correct Answer: \( 60 \% \)
Construct Name: Solve problems involving converting between fractions, decimals and percentages
Subject Name: Converting between Fractions and Percentages

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
212,Represent a linear inequality in the form x ≤ a or x ≥ b (and other sign arrangements) on a numberline,Inequalities on Number Lines,C,Which of the following diagrams represents \( x<-1 \) or \( x \geq 2 \) ?,![Number line from -5 to 5. Open circle at -1 with arrow to the left. Closed circle at 2 with arrow to the right. ](),A,![Number line from -5 to 5. Open circle at -1 with arrow to the left. Open circle at 2 with arrow to the right. ](),,"Question: Which of the following diagrams represents \( x<-1 \) or \( x \geq 2 \) ?
Incorrect Answer: ![Number line from -5 to 5. Open circle at -1 with arrow to the left. Open circle at 2 with arrow to the right. ]()
Correct Answer: ![Number line from -5 to 5. Open circle at -1 with arrow to the left. Closed circle at 2 with arrow to the right. ]()
Construct Name: Represent a linear inequality in the form x ≤ a or x ≥ b (and other sign arrangements) on a numberline
Subject Name: Inequalities on Number Lines

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
234,Calculate the range from a list of data,Range and Interquartile Range from a List of Data,C,"When finding the range of a data set, which step is never needed",Add all the numbers together.,A,Subtract the smallest number from the largest number.,,"Question: When finding the range of a data set, which step is never needed
Incorrect Answer: Subtract the smallest number from the largest number.
Correct Answer: Add all the numbers together.
Construct Name: Calculate the range from a list of data
Subject Name: Range and Interquartile Range from a List of Data

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
237,Expand two brackets with linear terms in the form (x + a)(x + b),Expanding Double Brackets,D,"What should replace the circle when these two brackets are
expanded and simplified?

\(
(p-3)(p+3) \equiv p^{2} \color{purple}\triangle\) \(p\)\(\color{green}\bigcirc
\)
",\(\color{green}\bigcirc\) = -9,A,\(\color{green}\bigcirc\) = +6,,"Question: What should replace the circle when these two brackets are
expanded and simplified?

\(
(p-3)(p+3) \equiv p^{2} \color{purple}\triangle\) \(p\)\(\color{green}\bigcirc
\)

Incorrect Answer: \(\color{green}\bigcirc\) = +6
Correct Answer: \(\color{green}\bigcirc\) = -9
Construct Name: Expand two brackets with linear terms in the form (x + a)(x + b)
Subject Name: Expanding Double Brackets

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
242,Multiply amounts of money up to £10,Basic Money,B,"Alicia wants to buy some bottles of water.
Each bottle of water costs \( £ 1.65 \)
Alicia has \( £ 10 \) to spend.
What is the greatest number of bottles can she buy?",\( 6 \),A,\( 10 \),,"Question: Alicia wants to buy some bottles of water.
Each bottle of water costs \( £ 1.65 \)
Alicia has \( £ 10 \) to spend.
What is the greatest number of bottles can she buy?
Incorrect Answer: \( 10 \)
Correct Answer: \( 6 \)
Construct Name: Multiply amounts of money up to £10
Subject Name: Basic Money

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
262,Identify factors of a number,Factors and Highest Common Factor,B,"\[
1,2,4,8
\]
These are the only factors of...",\( 8 \),A,\( 1 \),,"Question: \[
1,2,4,8
\]
These are the only factors of...
Incorrect Answer: \( 1 \)
Correct Answer: \( 8 \)
Construct Name: Identify factors of a number
Subject Name: Factors and Highest Common Factor

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
263,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,C,"\(
\frac{2}{3}-\frac{1}{10}=\frac{\bigstar}{30}
\)
What should replace the star?",\( 17 \),A,\( 13 \),,"Question: \(
\frac{2}{3}-\frac{1}{10}=\frac{\bigstar}{30}
\)
What should replace the star?
Incorrect Answer: \( 13 \)
Correct Answer: \( 17 \)
Construct Name: Subtract proper fractions with different denominators which do not share a common factor
Subject Name: Adding and Subtracting Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
290,Prove statements involving positive and negative numbers,Algebraic Proof,B,Which of these could be used as a counter - example to disprove Katie's theory that \( 2 n^{2}-1 \) is positive?,\( 2(0.5)^{2}-1 \),A,\( 2\left(\frac{3}{4}\right)^{2}-1 \),,"Question: Which of these could be used as a counter - example to disprove Katie's theory that \( 2 n^{2}-1 \) is positive?
Incorrect Answer: \( 2\left(\frac{3}{4}\right)^{2}-1 \)
Correct Answer: \( 2(0.5)^{2}-1 \)
Construct Name: Prove statements involving positive and negative numbers
Subject Name: Algebraic Proof

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
